aX,aY,aZ,gX,gY,gZ,output
19.61,9.44,9.58,-3.22,-1.94,4.37,forehand
19.61,11.13,9.49,-3.66,-0.94,4.37,forehand
-9.62,2.47,11.94,-0.31,2.18,-1.41,forehand
-9.6,1.43,11.05,-0.16,2.14,-1.26,forehand
-9.94,1.29,10.7,-0.1,1.93,-0.96,forehand
-9.97,1.4,9.93,-0.14,1.72,-0.6,forehand
-9.58,1.42,10.19,-0.25,1.58,-0.25,forehand
-9.09,1.6,10.49,-0.3,1.51,0.01,forehand
-8.57,1.63,10.72,-0.24,1.54,0.12,forehand
-8.14,1.2,10.03,-0.12,1.7,0.08,forehand
-8.26,0.96,9.67,-0.08,1.87,-0.05,forehand
-7.88,0.8,8.83,-0.08,1.93,-0.15,forehand
-5.63,5.25,17.93,-0.3,3.67,-3.82,forehand
-6.12,5.77,17.91,-0.25,3.56,-3.69,forehand
-6.24,5.83,18.07,-0.2,3.48,-3.59,forehand
-6.19,5.92,18.15,-0.12,3.42,-3.52,forehand
-6.44,5.43,17.73,-0.01,3.36,-3.5,forehand
-6.88,4.78,16.94,0.07,3.22,-3.51,forehand
-7.24,4.48,16.68,0.07,3.15,-3.48,forehand
-7.76,4.43,16.56,0.07,3.05,-3.37,forehand
-7.61,3.95,16.16,0.07,2.91,-3.2,forehand
-7.68,3.85,15.83,0.11,2.69,-3.05,forehand
19.61,-2.02,13.86,-4.37,-2.88,4.37,forehand
19.61,-0.29,15.16,-4.37,-3.68,4.37,forehand
19.61,2.87,19.07,-4.37,-4.37,4.37,forehand
19.61,5.41,19.61,-4.37,-4.37,3.67,forehand
19.61,6.99,19.61,-4.37,-4.37,1.92,forehand
19.61,8.83,19.61,-4.37,-4.37,-0.57,forehand
19.61,10.29,19.61,-4.37,-4.37,-2.99,forehand
19.61,10.23,19.61,-4.37,-4.37,-4.37,forehand
19.61,10.54,19.61,-4.37,-4.37,-4.37,forehand
14.21,10.28,19.61,-4.37,-4.37,-4.37,forehand
19.61,10.54,19.61,-4.37,-4.37,-4.37,forehand
14.21,10.28,19.61,-4.37,-4.37,-4.37,forehand
-10.37,0.32,11.14,-0.14,0.96,-0.42,forehand
-10.32,0.39,10.75,-0.1,1.06,-0.44,forehand
-9.92,0.36,10.06,-0.11,1.04,-0.39,forehand
-9.54,0.38,9.66,-0.13,0.91,-0.34,forehand
-9.2,0.34,9.44,-0.15,0.8,-0.32,forehand
-9.14,0.36,9.13,-0.19,0.74,-0.31,forehand
-9.17,0.25,8.94,-0.25,0.73,-0.29,forehand
-9.19,0.17,8.87,-0.33,0.73,-0.25,forehand
-9.14,0.34,9.28,-0.38,0.74,-0.22,forehand
-9.09,0.6,9.88,-0.37,0.72,-0.16,forehand
16.42,-6.06,18.92,-3.78,-1.11,4.37,forehand
18.58,-8.26,18.2,-3.97,-1.74,4.37,forehand
19.61,-10.52,17.22,-4.21,-2.11,4.37,forehand
19.61,-10.1,18.67,-4.37,-2.26,4.37,forehand
19.61,-9,19.61,-4.37,-2.56,4.37,forehand
19.61,-8.96,19.61,-4.37,-3.22,4.37,forehand
19.61,-9.6,19.61,-4.37,-3.92,4.37,forehand
19.61,-10.52,19.61,-4.37,-3.95,3,forehand
19.61,-10.76,19.61,-4.37,-3.37,1.28,forehand
19.61,-9.63,19.61,-4.37,-2.97,0.7,forehand
1.87,-8.69,12.9,-1.98,2.61,4.37,forehand
8.86,-11.29,12.27,-1.92,2.56,4.37,forehand
19.25,-12.83,10.09,-1.96,2.76,4.37,forehand
19.61,-12.12,6.73,-2.24,3.28,4.37,forehand
19.61,-11.06,10.21,-2.51,3.49,4.37,forehand
19.61,-11.78,14.92,-2.02,2.08,4.37,forehand
19.61,-15.51,12.83,-1.27,-0.2,4.37,forehand
19.61,-19.61,6.91,-0.46,-1.24,4.37,forehand
19.61,-19.61,0.22,-0.71,-1.51,4.37,forehand
19.61,-19.61,-2.96,-2.26,-0.8,4.37,forehand
-0.05,-3.17,9.06,-0.29,1.52,4.37,forehand
3.55,-4.07,7.61,-0.52,1.88,4.37,forehand
7.36,-4.34,5.91,-1,2.18,4.37,forehand
11.27,-5.41,5.95,-1.63,2.5,4.37,forehand
15.25,-5.92,8.15,-2.21,2.95,4.37,forehand
13.53,-4.41,14.98,-2.24,3.22,4.37,forehand
12.19,-5.29,19.61,-1.56,2.52,4.37,forehand
15.55,-10.82,18.62,-0.79,1.23,4.37,forehand
19.61,-16.29,12.89,-0.14,0.51,4.37,forehand
19.61,-19.44,4.29,-0.15,-0.26,4.37,forehand
3.81,0.55,9,-1.77,-0.82,4.37,forehand
4.36,2.56,10.53,-1.95,-0.65,4.37,forehand
5.23,3.31,10.92,-1.77,-0.32,4.37,forehand
6.72,3.22,9.94,-1.53,0.03,4.37,forehand
9.11,3.4,7.7,-1.75,0.16,4.37,forehand
10.14,4.04,8.51,-2.22,0.03,4.37,forehand
10.31,4.15,11.44,-2.33,-0.4,4.37,forehand
10.79,3.42,12.01,-2.37,-0.9,4.37,forehand
11.54,1.32,12.35,-2.51,-1.23,4.37,forehand
13.69,-2.98,12.34,-2.67,-1.19,4.37,forehand
4.74,-4.36,7.09,-0.31,2.41,4.37,forehand
5.6,-4.27,6.3,-0.46,3.26,4.37,forehand
7.18,-3.7,5.9,-1.01,3.56,4.37,forehand
9.69,-2.51,7.09,-2,3.37,4.37,forehand
12.83,-3.88,10.01,-2.99,2.75,4.37,forehand
16.67,-6.49,12.88,-3.57,2.44,4.37,forehand
19.61,-9.36,14.06,-3.77,2.54,4.37,forehand
19.61,-11.64,12.78,-3.9,3.19,4.37,forehand
19.61,-13.78,10.31,-4.21,3.32,4.37,forehand
19.61,-15.75,7.1,-4.37,2.36,4.37,forehand
19.61,-19.61,11.94,-4.37,0.35,4.37,forehand
19.61,-19.57,19.61,-4.37,-1.82,4.37,forehand
19.61,-13.19,19.61,-4.37,-3.23,4.37,forehand
19.61,-9.74,19.61,-4.37,-3.4,2.9,forehand
19.61,-6.13,19.61,-4.37,-2.42,-0.59,forehand
19.61,-3.78,19.61,-4.37,-1.59,-4.35,forehand
19.61,-3.67,19.61,-4.37,-1.1,-4.37,forehand
13.94,-2.93,19.61,-4.37,-1.46,-4.37,forehand
8.96,-0.16,19.61,-4.37,-2.41,-4.37,forehand
9.56,5.23,19.61,-4.37,-2.57,-4.37,forehand
0.39,3.05,19.09,-0.07,-0.17,-0.26,forehand
-9.27,-2.72,10.58,-0.11,0.15,-0.46,forehand
-9.31,-2.83,11.04,-0.11,0.07,-0.45,forehand
-9.34,-2.93,11.07,-0.08,0.02,-0.47,forehand
-9.69,-3.12,10.84,-0.06,0.12,-0.47,forehand
-9.89,-2.72,10.79,-0.09,0.19,-0.45,forehand
-10,-2.77,11.03,-0.12,0.19,-0.39,forehand
-9.84,-2.77,11.4,-0.09,0.19,-0.37,forehand
-9.68,-2.94,11.41,-0.01,0.26,-0.4,forehand
-9.87,-2.88,11.45,0.05,0.32,-0.38,forehand
-9.87,-2.86,11.27,0.09,0.33,-0.35,forehand
-9.3,0.05,11.16,-0.03,0.61,-0.62,forehand
-9.61,0.18,10.95,-0.13,0.45,-0.5,forehand
-9.61,0.39,11.16,-0.23,0.31,-0.36,forehand
-9.35,0.31,11.61,-0.27,0.26,-0.22,forehand
-9.02,0.26,12.08,-0.2,0.34,-0.14,forehand
-8.67,0.47,12.28,-0.08,0.37,-0.1,forehand
-8.32,0.49,12.33,0.05,0.29,-0.13,forehand
-8.53,0.22,11.93,0.18,0.25,-0.22,forehand
-8.94,-0.15,11.03,0.21,0.29,-0.29,forehand
-9.05,-0.17,10.38,0.12,0.28,-0.32,forehand
-5.58,-6.01,10.08,-0.91,0.27,4.37,forehand
-4.9,-6.42,10.09,-0.92,0.12,4.37,forehand
-3.99,-6.86,10.82,-1.04,-0.08,4.37,forehand
-2.35,-7.05,12.13,-1.09,0.01,4.37,forehand
-0.24,-7.43,13.09,-0.95,0.63,4.37,forehand
2.03,-7.3,13.05,-0.75,1.58,4.37,forehand
4.43,-7.37,12.59,-0.7,2.43,4.37,forehand
7.67,-7.63,11.39,-0.79,2.93,4.37,forehand
12.05,-7.42,10.27,-1.1,3.03,4.37,forehand
16.65,-6.93,9.65,-1.53,2.9,4.37,forehand
-8.79,-2.71,8.51,0.03,0.43,0,forehand
-9.45,-2.6,8.42,0,0.52,-0.01,forehand
-9.88,-2.55,8.27,-0.05,0.54,0.06,forehand
-9.89,-2.4,8.26,-0.05,0.52,0.19,forehand
-9.51,-2.15,8.37,-0.02,0.47,0.34,forehand
-9.22,-2.06,8.32,0.05,0.32,0.48,forehand
-8.83,-1.87,8.25,0.11,0.16,0.57,forehand
-8.51,-1.84,8.16,0.13,0.01,0.53,forehand
-8.4,-1.94,8.21,0.13,0.03,0.31,forehand
-8.75,-2.21,7.82,0.1,0.23,0.05,forehand
-9.01,-2.27,10.04,-0.07,0.07,-0.65,forehand
-9.52,-2.19,10.5,-0.07,0.29,-0.69,forehand
-9.92,-2.18,10.4,-0.02,0.36,-0.56,forehand
-9.81,-2.23,10.2,0.02,0.19,-0.27,forehand
-9.22,-2.26,9.71,0.06,-0.11,0.01,forehand
-8.58,-2.55,9.23,0.02,-0.35,0.16,forehand
-8.37,-2.58,9.24,-0.12,-0.39,0.1,forehand
-8.65,-2.48,9.79,-0.26,-0.13,-0.18,forehand
-9.12,-2.67,9.97,-0.33,0.25,-0.49,forehand
-9.51,-2.57,9.82,-0.36,0.5,-0.67,forehand
-5.47,4.56,14.59,1.16,-0.02,-0.89,forehand
-5.1,6.02,14.24,0.97,0.15,-1,forehand
-4.73,5.49,15.66,0.93,-0.16,-1.46,forehand
-5.93,5.73,16.12,0.97,0.03,-1.44,forehand
-6.68,5.29,16.47,0.91,-0.3,-1.41,forehand
-4.86,3.64,16.61,0.92,-0.75,-1.7,forehand
-5.53,2.7,15.92,1.17,-0.77,-2.23,forehand
-6.18,4.9,15.83,1.36,-0.5,-2.25,forehand
-7.77,5.87,16.36,1.49,0.03,-1.79,forehand
-7.1,4.58,16.05,1.46,-0.67,-1.31,forehand
-4.19,8.65,11.1,-0.08,0,-0.01,flick
-4.19,8.7,11.17,-0.08,0,-0.02,flick
-4.1,8.77,11.2,-0.1,0,-0.02,flick
-4.07,8.71,11.13,-0.11,0.01,-0.02,flick
-4.12,8.73,11.13,-0.12,0.02,-0.02,flick
-4.05,8.66,11.07,-0.11,0.02,-0.01,flick
-4.12,8.69,11.1,-0.1,0.02,-0.01,flick
-4.09,8.78,11.15,-0.1,0.01,-0.02,flick
-4.16,8.71,11.17,-0.11,0,-0.03,flick
-4.08,8.74,11.13,-0.1,-0.01,-0.03,flick
-0.06,1.51,13.35,-1.71,0.85,2.92,flick
-0.73,1.97,11.97,-1.26,1.61,3.48,flick
-1.83,3.2,10.97,-0.89,2.31,4.09,flick
-3.06,4.72,11.08,-0.61,2.92,4.37,flick
-5.09,5.83,10.42,-0.45,2.84,4.37,flick
-5.92,6.74,10.16,-0.17,2.27,4.37,flick
-6.54,6.87,9.39,0.27,1.94,4.37,flick
-8.09,7.39,9.24,0.87,1.69,4.37,flick
-9.01,8.57,8.84,1.59,1.81,4.37,flick
-10.55,10.08,9.23,2.1,2.51,4.37,flick
-3.3,13,7.32,2.39,1.73,3.38,flick
-2.84,14.56,6.2,2.51,2.16,3.71,flick
-3.12,15.42,4.55,2.57,3.38,4.12,flick
-4.69,15.97,3.13,2.73,4.37,4.37,flick
-5.57,15.91,2.5,3.12,4.37,4.37,flick
-7.48,15.72,1.88,3.82,4.37,4.37,flick
-9.09,15.87,2.52,4.37,4.37,4.37,flick
-10.07,16.34,3.25,4.37,4.37,4.23,flick
-11.03,16.68,4.81,4.37,4.25,3.71,flick
-10.57,17.56,7.74,4.37,2.26,3.12,flick
-3.5,8.48,9.92,-0.05,-0.16,-0.11,flick
-4.33,8.86,9.79,0,-0.33,-0.05,flick
-4.77,9.14,9.89,0.05,-0.44,-0.02,flick
-6.85,10.45,10.32,0.04,-0.9,0.01,flick
-5.26,9.7,9.14,-0.08,-0.8,-0.18,flick
-5.36,10.22,8.81,-0.21,-0.55,-0.45,flick
-5.44,9.84,8.98,-0.32,-0.58,-0.65,flick
-4.64,9.6,9.27,-0.34,-0.71,-0.83,flick
-4.53,8.52,9.43,-0.21,-0.65,-0.96,flick
-4.54,7.88,9.91,0.01,-0.64,-0.96,flick
-3.47,7.12,14.99,-1.19,0.73,-0.31,flick
-3.8,7.28,14.99,-1.27,0.5,-0.51,flick
-3.98,6.84,15.47,-1.28,0.88,-0.69,flick
-4.46,6.3,15.56,-1.22,0.91,-0.87,flick
-4.81,6.57,15.79,-1.04,0.92,-1.04,flick
-5.61,5.5,16.58,-0.72,1,-1.23,flick
-6.2,5.91,16.65,-0.43,0.37,-1.19,flick
-6.09,5.82,16.78,-0.18,0.26,-1.06,flick
-5.98,5.53,16.39,-0.06,0,-1,flick
-6.19,5.71,16.36,-0.03,-0.02,-0.96,flick
8.63,18.96,9.16,2.54,-4.37,0.42,flick
8.08,17.72,9.06,3.82,-3.76,1.27,flick
7.77,17.8,8.68,4.37,-2.8,2.32,flick
8.74,16.07,9.2,4.37,-2.2,3.37,flick
8.82,12.64,13.04,4.37,-1.45,4.37,flick
8.9,10.12,15.18,4.37,-0.58,4.37,flick
8.65,7.46,16.88,4.37,-0.05,4.37,flick
9.51,6.43,16.95,4.37,-0.14,4.37,flick
9.18,3.52,18.08,4.37,-0.55,4.37,flick
7.19,0.83,19.61,4.37,-0.47,4.37,flick
6.3,-0.76,19.61,4.37,-0.69,4.37,flick
4.7,-1.08,18.99,4.37,0.14,4.37,flick
3.87,-1.09,16.74,4.37,1.09,4.37,flick
4.96,-3.09,19.61,4.37,1.66,4.37,flick
6.16,-4.07,19.61,4.37,1.16,4.37,flick
6.54,-3.86,19.61,4.37,0.48,4.37,flick
5.53,-2.79,18.34,4.22,0.03,3.45,flick
5.18,-3.06,16.75,2.82,0.33,2.84,flick
4.75,-3.85,15.14,2.01,0.99,2.73,flick
5.51,-4.48,17.2,2.02,1.46,2.84,flick
6.3,-0.76,19.61,4.37,-0.69,4.37,flick
4.7,-1.08,18.99,4.37,0.14,4.37,flick
3.87,-1.09,16.74,4.37,1.09,4.37,flick
4.96,-3.09,19.61,4.37,1.66,4.37,flick
6.16,-4.07,19.61,4.37,1.16,4.37,flick
6.54,-3.86,19.61,4.37,0.48,4.37,flick
5.53,-2.79,18.34,4.22,0.03,3.45,flick
5.18,-3.06,16.75,2.82,0.33,2.84,flick
4.75,-3.85,15.14,2.01,0.99,2.73,flick
5.51,-4.48,17.2,2.02,1.46,2.84,flick
4.85,-1.63,18.25,0.19,1.46,-0.58,flick
4.2,-1.65,18.43,0.1,1.57,-0.6,flick
4.2,-1.6,18.51,0.04,1.54,-0.78,flick
4.55,-1.49,18.65,0.09,1.33,-1.04,flick
4.84,-1.42,18.34,0.2,1.06,-1.26,flick
4.75,-1.56,18.28,0.37,0.87,-1.31,flick
4.15,-1.71,18.4,0.56,0.86,-1.24,flick
3.52,-1.63,18.28,0.66,0.94,-1.14,flick
3.32,-1.19,18.5,0.66,0.98,-1.18,flick
3.42,-0.83,18.82,0.73,1.05,-1.33,flick
5.89,7,19.61,0.48,-0.66,1.75,flick
6.42,7.4,19.61,0.7,-0.93,2.44,flick
6.67,7.64,19.61,0.87,-1.24,3.23,flick
6.38,8.53,19.61,1,-1.84,4.2,flick
7.64,10.11,19.61,1.49,-2.32,4.37,flick
6.84,10.2,19.61,2.45,-3.46,4.37,flick
5.66,10.29,19.61,4.1,-4.37,4.37,flick
3.41,10.08,19.61,4.37,-4.37,4.37,flick
2.19,11.77,19.61,4.37,-4.37,4.37,flick
2.73,13.01,19.61,4.37,-4.37,4.37,flick
12.64,19.61,7.82,4.37,-1.74,3.14,flick
11.52,19.61,12.04,4.37,-2.46,3.56,flick
10.17,19.61,13.95,4.37,-2.93,3.74,flick
8.53,19.61,19.61,4.37,-2.91,4.26,flick
7.2,16.58,19.61,4.37,-0.95,4.37,flick
5.74,13.7,19.61,4.37,2.43,4.37,flick
4.15,10.74,19.61,4.37,4.37,4.37,flick
4.42,11.1,19.61,4.37,4.37,4.37,flick
3.52,12.92,19.61,4.37,4.37,4.37,flick
0.12,9.71,19.61,3.45,3.87,4.37,flick
3.61,-3.53,15.92,-0.4,1.6,-2.84,flick
4.01,-5.27,16.48,-0.59,1.39,-3.38,flick
4.62,-4.63,16.52,-0.83,1.59,-3.7,flick
5.06,-4.85,17.19,-1.06,1.8,-3.75,flick
5.29,-4.99,17.56,-1.18,2.12,-3.51,flick
5.61,-5.04,16.96,-1.34,2.48,-3.13,flick
5.87,-5.08,16.34,-1.52,2.72,-2.76,flick
6.33,-4.81,16.76,-1.61,2.99,-2.64,flick
6.53,-4.33,17.57,-1.54,3.26,-2.73,flick
6.76,-4.39,18.07,-1.41,3.26,-2.91,flick
4.58,-3.44,16.65,0.15,2.94,1.61,flick
4.61,-2.95,16.4,-0.44,3.34,1.5,flick
4.58,-4.22,16.64,-1.13,3.59,1.39,flick
4.73,-5.92,17.18,-1.47,4.03,1.35,flick
3.97,-6.35,17.63,-1.47,4.18,1.28,flick
3.58,-6.59,17.35,-1.3,4.03,1.17,flick
2.85,-6.66,17.04,-1.12,3.79,0.92,flick
2.52,-6.53,16.88,-0.93,3.65,0.67,flick
2.08,-6.97,16.65,-0.74,3.61,0.4,flick
2,-7.44,16.76,-0.48,3.66,0.1,flick
-2.41,-2.13,18.82,3.22,0.15,-1.97,flick
-2.31,-1.93,19.05,2.95,-0.03,-1.91,flick
-2.82,-1.92,18.91,2.73,-0.12,-1.83,flick
-3.08,-1.65,19.03,2.56,-0.18,-1.71,flick
-3.22,-1.27,19.05,2.44,-0.19,-1.55,flick
-3.02,-0.79,18.97,2.38,-0.3,-1.42,flick
-2.45,-0.25,18.72,2.41,-0.63,-1.38,flick
-2,0.3,19.13,2.57,-1.02,-1.41,flick
-1.61,0.66,19.46,2.84,-1.43,-1.51,flick
-1.2,1.65,19.38,3.12,-1.92,-1.65,flick
4.82,-3.9,17.55,-0.83,3.92,0.97,flick
4.24,-4.69,18.32,-1.14,4.36,0.86,flick
3.55,-4.3,18.4,-1.5,4.37,0.69,flick
2.82,-4.48,18.34,-1.68,4.37,0.51,flick
2.29,-4.6,18.53,-1.59,4.37,0.26,flick
2.06,-4.83,18.97,-1.33,4.37,0.03,flick
1.95,-5.06,18.88,-1.01,4.37,-0.13,flick
1.88,-5.15,18.92,-0.67,4.37,-0.36,flick
1.61,-5.51,19.61,-0.27,4.37,-0.75,flick
0.9,-5.68,19.61,0.13,4.37,-1.27,flick
2.81,1.99,19.61,2.33,-0.36,-2.54,flick
3.11,2.58,19.35,2.25,-0.35,-2.56,flick
3.56,3.25,19.12,2.15,-0.43,-2.61,flick
3.98,3.61,18.81,2.11,-0.56,-2.66,flick
4.18,4.22,18.52,2.13,-0.61,-2.67,flick
4.41,4.82,18.05,2.17,-0.76,-2.59,flick
4.41,5.65,17.76,2.24,-0.91,-2.44,flick
4.11,6.46,17.78,2.38,-0.96,-2.22,flick
3.79,6.88,17.65,2.58,-1.05,-2.01,flick
3.68,7.31,17.66,2.79,-1.14,-1.87,flick
-7.24,-5.31,17.71,3.83,0.38,-1.92,flick
-6.53,-4.64,17.41,3.74,0.36,-2.19,flick
-6.27,-4.59,18.07,3.63,0.19,-2.41,flick
-5.88,-5.27,18.86,3.62,-0.04,-2.55,flick
-5.22,-5.8,19.29,3.61,-0.33,-2.61,flick
-4.79,-5.83,19.32,3.55,-0.54,-2.55,flick
-4.55,-6.01,19.55,3.4,-0.79,-2.37,flick
-4.17,-5.57,19.56,3.19,-1.02,-2.13,flick
-4.04,-4.86,19.61,3.06,-1.08,-1.86,flick
-4.04,-4.59,19.61,3.11,-1.11,-1.69,flick
2.77,0.2,19.61,1.65,1.19,4.37,flick
1.84,-1.01,19.61,0.97,1.43,4.37,flick
1.95,-1.48,19.4,0.27,2.31,4.37,flick
1.91,-1.85,17.96,-0.26,2.89,4.37,flick
2.74,-3.16,17.6,-0.44,3.01,4.37,flick
3.89,-3.52,16.84,-0.43,2.81,4.25,flick
4.63,-4.25,16.77,-0.26,2.19,3.48,flick
4.29,-5.44,16.93,-0.08,1.48,2.53,flick
4.63,-5.81,17.94,-0.28,1.24,1.73,flick
3.95,-6.56,17.85,-0.71,1.25,1.11,flick
4.42,5.44,19.52,4.37,-4.37,-3.33,flick
5.12,6.4,19.54,4.37,-4.37,-3.92,flick
6.29,7.44,19.55,4.37,-4.37,-4.37,flick
7.12,9.25,19.48,4.37,-4.37,-4.37,flick
8.3,10.9,18.76,4.37,-4.37,-4.37,flick
9.68,12.57,17.2,4.37,-4.37,-4.37,flick
10.25,13.59,16.58,4.37,-4.37,-4.37,flick
9.45,14.45,16.47,4.32,-4.37,-4.17,flick
8.68,15.07,15.25,3.81,-4.37,-3.13,flick
7.37,16.2,14.66,3.42,-4.37,-1.89,flick
4.35,12.31,18.66,3.12,-4.37,4.37,flick
5.26,10.98,18.72,3.51,-4.37,4.37,flick
7.08,12.06,17.4,3.88,-4.37,4.37,flick
6.64,12.07,17.59,4.21,-4.37,4.37,flick
6.19,11.6,18.29,4.37,-4.37,4.37,flick
6.06,9.73,17.29,4.37,-4.37,4.37,flick
4.7,6.83,17.83,4.3,-4.37,4.37,flick
4.13,5.24,16.95,3.78,-3.46,4.37,flick
3.28,3.29,16.26,3.26,-2.33,4.09,flick
2.72,-0.1,16.28,2.97,-1.14,3.35,flick
9.28,1.61,3.23,-0.03,0.29,0.2,backhand 
9.14,1.66,3.57,-0.14,0.2,0.17,backhand 
9,1.63,3.84,-0.2,0.13,0.15,backhand 
8.8,1.57,3.8,-0.24,0.09,0.14,backhand 
8.81,1.65,3.74,-0.28,0.11,0.14,backhand 
8.68,1.55,3.61,-0.34,0.2,0.13,backhand 
8.69,1.63,3.52,-0.4,0.32,0.12,backhand 
8.92,1.61,3.73,-0.45,0.47,0.11,backhand 
9.3,1.57,4.11,-0.47,0.46,0.06,backhand 
9.54,1.44,4.4,-0.44,0.34,-0.03,backhand 
8.68,-0.48,4.71,0.07,0.03,-0.01,backhand 
8.69,-0.52,4.5,0.09,0.01,0.01,backhand 
8.89,-0.47,4.48,0.09,-0.03,0.03,backhand 
8.88,-0.53,4.4,0.08,-0.1,0.02,backhand 
8.9,-0.57,4.26,0.06,-0.11,0,backhand 
8.9,-0.4,4.19,0.02,-0.09,-0.03,backhand 
8.79,-0.47,4.14,-0.03,-0.07,-0.05,backhand 
8.72,-0.36,4.25,-0.07,-0.03,-0.07,backhand 
8.7,-0.39,4.42,-0.09,-0.01,-0.07,backhand 
8.8,-0.37,4.64,-0.1,-0.01,-0.05,backhand 
9.89,2.34,11.06,-0.2,-0.14,-0.05,backhand 
10.43,2.6,11.22,-0.17,-0.2,-0.04,backhand 
10.55,2.7,11.15,-0.13,-0.23,-0.06,backhand 
10.34,2.77,11.05,-0.02,-0.25,-0.12,backhand 
10.09,2.61,10.6,0.09,-0.25,-0.14,backhand 
9.93,2.65,10.38,0.14,-0.38,-0.11,backhand 
9.72,2.69,10.02,0.13,-0.48,-0.04,backhand 
7.88,2.06,11.39,0.03,0.13,0.05,backhand 
8.49,2.17,13.72,-0.2,1.43,0.08,backhand 
8.42,2.24,13.18,-0.25,1.14,-0.01,backhand 
7.66,3.66,15.11,-0.58,0.06,-0.41,backhand 
7.86,3.81,15.28,-0.59,0.12,-0.38,backhand 
7.86,3.99,15.55,-0.6,0.13,-0.38,backhand 
7.79,3.98,15.95,-0.58,0.11,-0.36,backhand 
7.69,3.87,16.12,-0.52,0.07,-0.33,backhand 
7.55,3.77,16.04,-0.44,0.04,-0.3,backhand 
7.35,3.62,15.67,-0.37,0.04,-0.25,backhand 
7.13,3.59,15.27,-0.34,0.08,-0.18,backhand 
7.01,3.51,15.11,-0.35,0.07,-0.12,backhand 
8.19,3.08,13.76,-0.4,0.18,0.13,backhand 
8.27,3.11,13.4,-0.33,0.03,0.26,backhand 
8.63,3.15,13.28,-0.29,-0.05,0.35,backhand 
9.02,3.08,13.36,-0.26,-0.08,0.39,backhand 
9.1,2.93,13.53,-0.21,-0.07,0.4,backhand 
9.33,2.77,13.51,-0.13,-0.04,0.38,backhand 
9.54,2.63,13.59,-0.06,0.02,0.36,backhand 
9.79,2.62,13.54,-0.03,0.07,0.31,backhand 
9.9,2.61,13.57,-0.01,0.12,0.27,backhand 
10.02,2.63,13.69,0.01,0.2,0.22,backhand 
13.41,5.13,4.95,2.29,-0.17,2.8,backhand 
14.34,4.87,4.17,2.14,-0.05,2.52,backhand 
14.39,4.81,4.37,1.84,0.03,2.15,backhand 
13.92,5.02,5.87,1.58,0.05,1.9,backhand 
12.74,5.23,8.03,1.56,-0.18,1.85,backhand 
11.25,4.84,10.09,1.84,-0.89,2.08,backhand 
10.98,3.89,10.09,2.39,-1.54,2.43,backhand 
